sale_date,sale_price,square_ft,lat,long
1/5/18,2075000,4424,33.8060639,-84.3884333
1/8/18,460000,3297,34.1235143,-84.2764759
1/8/18,2582500,6592,33.8580484,-84.3891312
1/8/18,146000,1200,33.995856,-84.334329
1/8/18,320000,2712,33.8117385,-84.4699098
1/8/18,217000,855,33.8214349,-84.3626017
1/8/18,450000,2875,34.0368927,-84.3567312
1/8/18,450000,2685,34.0440777,-84.3592367
1/8/18,350000,1524,33.9520406,-84.3640833
1/8/18,240000,1642,34.046607,-84.3283819
1/8/18,227000,1366,33.936392,-84.350679
1/8/18,326000,2318,34.0634186,-84.3904926
1/8/18,775000,3813,33.9793938,-84.369874
1/8/18,251904,2458,33.65834,-84.4685158
1/8/18,287000,2784,34.0111786,-84.3088994
1/8/18,310000,2418,34.0129706,-84.3237585
1/8/18,1096929,4796,33.9153673,-84.3726459
1/8/18,229900,1784,33.9483012,-84.3725836
1/8/18,515000,1688,33.7501112,-84.3661779
1/8/18,116500,1936,33.6006864,-84.4781496
1/8/18,303500,2336,34.0260234,-84.2996902
1/8/18,559000,1535,33.7908173,-84.3969924
1/8/18,154990,2111,33.5628261,-84.4816337
1/8/18,199000,1506,34.0216219,-84.2927001
1/8/18,241500,1575,34.0193975,-84.3046239
1/8/18,1175000,5087,34.0070779,-84.2342598
1/8/18,393320,2136,34.0895144,-84.2930394
1/8/18,2050000,5541,33.8610688,-84.4453475
1/8/18,1480000,5950,33.8276143,-84.428878
1/8/18,1430000,4417,33.8918142,-84.3743706
1/8/18,114840,1692,33.6688949,-84.4922027
1/9/18,343000,1391,33.8500877,-84.3593069
1/9/18,714744,2333,33.8219972,-84.3641341
1/9/18,235000,1782,33.7161891,-84.3951186
1/9/18,731401,4236,34.0491125,-84.1603098
1/9/18,318000,802,33.7777998,-84.383904
1/9/18,148000,1395,33.674964,-84.4477672
1/9/18,409000,1380,33.810858,-84.365459
1/9/18,339900,2595,34.0858618,-84.2836941
1/9/18,617000,2316,33.8655181,-84.4537734
1/9/18,162000,1306,34.007587,-84.355293
1/9/18,550000,2862,33.9565609,-84.3584974
1/9/18,102000,794,33.9675747,-84.3534953
1/9/18,226900,1715,33.6618659,-84.4650514
1/9/18,1040000,2290,34.0791347,-84.2135112
1/9/18,115700,1860,33.6991772,-84.3535271
1/9/18,150000,1920,33.7237466,-84.5809364
1/9/18,149000,1832,33.7236887,-84.5814497
1/9/18,149900,1455,33.5853796,-84.4926996
1/9/18,265000,2842,33.7974886,-84.4829043
1/10/18,269900,1594,34.020713,-84.197044
1/10/18,317000,2019,33.7412772,-84.4439593
1/10/18,133200,1240,33.99876,-84.335728
1/10/18,499900,3404,33.8118852,-84.4519268
1/10/18,555000,1196,33.783839,-84.3838658
1/10/18,418240,1746,33.8217558,-84.361762
1/10/18,475000,1196,33.8924983,-84.3822338
1/10/18,130000,1649,33.723744,-84.3959867
1/10/18,125000,1564,33.9976799,-84.3474473
1/10/18,368500,1941,34.0444942,-84.3863805
1/10/18,260000,2748,34.0671872,-84.3444687
1/10/18,325000,2128,34.0166768,-84.3138117
1/10/18,147600,1996,33.6810601,-84.4867161
1/10/18,239900,3357,33.7184662,-84.5704845
1/10/18,145000,1752,33.7229062,-84.5787523
1/10/18,555000,1727,33.8248614,-84.4078896
1/10/18,360000,1798,33.857885,-84.3812732
1/10/18,478600,3207,33.9691026,-84.2924123
1/10/18,400000,3017,34.0008457,-84.3134623
1/10/18,685000,1727,33.7846307,-84.379824
1/10/18,185000,1578,34.0802348,-84.317209
1/10/18,160000,1877,33.6002106,-84.5600333
1/10/18,690000,3097,33.7287668,-84.3542665
1/10/18,265000,3662,33.660381,-84.57012
1/10/18,180000,2782,33.6397862,-84.6019342
1/10/18,388760,3151,33.7453145,-84.4694114
1/11/18,600000,3782,33.9764,-84.3651511
1/11/18,514800,2171,33.7768825,-84.3634212
1/11/18,292500,1479,33.7339254,-84.4391614
1/11/18,285000,1324,33.7170275,-84.4091618
1/11/18,265000,1025,33.7597583,-84.3715155
1/11/18,2100000,4688,33.8317526,-84.3767728
1/11/18,289000,1200,34.0620414,-84.3760132
1/11/18,359000,2815,34.0767635,-84.4121987
1/11/18,163000,2056,33.7096032,-84.5461552
1/11/18,204900,1812,33.9564294,-84.3608867
1/11/18,379900,1750,34.0718819,-84.2067645
1/11/18,537000,1836,33.8600854,-84.3784974
1/11/18,178631,1970,33.6208584,-84.54984
1/11/18,420000,1586,33.7435468,-84.3508186
1/11/18,359900,3299,33.6390604,-84.5644131
1/11/18,115000,760,33.9257419,-84.376942
1/11/18,619000,5100,34.0498413,-84.2582929
1/11/18,167000,1288,34.006288,-84.337023
1/11/18,107900,1120,33.6964714,-84.4554361
1/11/18,1094000,3179,33.8011947,-84.3760337
1/11/18,145000,1626,33.5473816,-84.5686594
1/11/18,1454912,4306,33.8154133,-84.4162612
1/11/18,1820000,5322,33.8232307,-84.3919731
1/12/18,378000,2495,34.0221936,-84.384882
1/12/18,510000,3367,33.9609998,-84.2754065
1/12/18,682000,3661,33.963212,-84.3011292
1/12/18,241900,2456,33.6535024,-84.6277797
1/12/18,195000,2626,33.6519259,-84.6261958
1/12/18,219000,2600,33.6419023,-84.6335852
1/12/18,138000,1102,33.9885544,-84.336674
1/12/18,669000,1768,33.732127,-84.3740421
1/12/18,422713,1746,33.8217849,-84.3618658
1/12/18,164000,868,33.7903038,-84.3994771
1/12/18,310000,1745,33.7185186,-84.4157425
1/12/18,235000,620,33.7777998,-84.383904
1/12/18,200000,1510,33.829183,-84.357407
1/12/18,302908,1240,33.7595592,-84.3707095
1/12/18,610000,2862,34.0223679,-84.3567087
1/12/18,149000,1014,33.7634188,-84.3753762
1/12/18,375000,2721,34.0574402,-84.2002513
1/12/18,605000,1315,33.8544526,-84.3583947
1/12/18,379000,1638,34.0408947,-84.384492
1/12/18,417000,2198,34.0347292,-84.3948373
1/12/18,1195000,3955,33.8726781,-84.4421786
1/12/18,220000,1409,33.8562938,-84.4241125
1/12/18,376000,2211,34.0607543,-84.34414
1/12/18,143500,1128,33.9402242,-84.3561976
1/12/18,301000,3276,33.9894905,-84.2725477
1/12/18,390000,1976,34.0205563,-84.2548573
1/12/18,160000,2027,33.5922575,-84.6376323
1/12/18,505000,1990,33.8860368,-84.3844099
1/12/18,464900,1724,33.7530415,-84.3547831
1/12/18,495000,1834,33.8164457,-84.3567041
1/12/18,620000,1880,33.8008058,-84.370595
1/12/18,664660,3188,34.1627015,-84.3255668
1/12/18,140000,1750,33.6110521,-84.4848307
1/12/18,150000,1158,34.007587,-84.355293
1/12/18,560000,3911,34.0674567,-84.2140876
1/12/18,1530000,2452,33.8467661,-84.3685301
1/12/18,524500,3490,33.996856,-84.3153943
1/12/18,608000,2625,33.9301345,-84.3655208
1/12/18,725000,3923,34.0558425,-84.2475122
1/12/18,305000,1220,33.7930478,-84.427801
1/12/18,130000,1581,33.6939263,-84.4666709
1/12/18,137500,1224,33.6803742,-84.4664659
1/12/18,1080000,3866,33.8442496,-84.4263811
1/12/18,472800,2381,33.8703846,-84.3660957
1/12/18,310000,1705,33.7330077,-84.4107418
1/12/18,334400,2513,33.9516326,-84.3529797
1/12/18,130000,1083,33.9638624,-84.3690751
1/12/18,405000,2750,33.9993436,-84.2917749
1/12/18,205000,1712,33.7735048,-84.4427635
1/12/18,409250,1500,33.817224,-84.3918849
1/12/18,100000,1768,33.6655065,-84.3847525
1/12/18,124000,1862,33.6649642,-84.3834655
1/12/18,796200,3048,33.7675032,-84.3697508
1/12/18,539264,3296,34.0075267,-84.2946739
1/12/18,525000,3436,34.0381622,-84.249652
1/12/18,675000,3132,34.0289522,-84.3784974
1/12/18,840000,4292,34.0414712,-84.3800166
1/12/18,167000,2795,33.6558978,-84.3517197
1/12/18,424900,1188,33.9348069,-84.4013638
1/12/18,752000,3288,33.514872,-84.7414115
1/12/18,400000,4174,33.5206394,-84.7469748
1/12/18,185000,2766,33.7269322,-84.5649861
1/12/18,175900,1697,33.7267574,-84.5667746
1/12/18,240000,2349,33.6659126,-84.5482114
1/12/18,455800,2786,34.0418159,-84.2013427
1/12/18,320000,2360,33.8127458,-84.4788628
1/12/18,161000,987,33.7185484,-84.4740093
1/12/18,120000,950,33.7606576,-84.5185119
1/12/18,770000,2083,33.8149421,-84.3808373
1/12/18,1700000,4589,33.8243746,-84.3842251
1/12/18,292000,1848,33.6604509,-84.4194618
1/12/18,1345000,5581,33.8556016,-84.3646262
1/12/18,160000,2610,33.6371309,-84.5143049
1/12/18,116000,950,33.6086183,-84.4605617
1/13/18,356200,4246,33.6535802,-84.5473221
1/15/18,258000,1594,34.020737,-84.1960948
1/15/18,399500,3253,34.0404212,-84.1516959
1/15/18,163000,1012,34.009911,-84.315862
1/16/18,590000,3342,34.1215709,-84.2752214
1/16/18,305000,1697,34.0130365,-84.3862574
1/16/18,875000,3539,33.9755568,-84.3709212
1/16/18,154900,1463,33.9777735,-84.3555975
1/16/18,585000,3804,33.9575891,-84.2861
1/16/18,219000,560,33.7762951,-84.3634512
1/16/18,402000,2084,33.8156358,-84.4578964
1/16/18,211000,855,33.8214349,-84.3626017
1/16/18,362000,2696,34.0456506,-84.1513249
1/16/18,402000,2922,34.0420159,-84.1514898
1/16/18,3800000,12313,33.8750618,-84.4266871
1/16/18,249000,1700,34.0378254,-84.2142317
1/16/18,205250,1392,34.0468012,-84.2270526
1/16/18,309000,2593,34.0395047,-84.2375526
1/16/18,248000,1239,33.8025339,-84.4001885
1/16/18,245000,1556,34.1734053,-84.3158464
1/16/18,630000,3527,34.1847845,-84.3062683
1/16/18,735500,1940,33.8036292,-84.3903628
1/16/18,320000,2464,34.0150733,-84.3133801
1/16/18,670750,1821,33.7908699,-84.3975807
1/16/18,244900,1861,34.0158473,-84.3038427
1/16/18,335000,2155,33.6622041,-84.4604387
1/16/18,448000,1099,33.764889,-84.3976991
1/16/18,335000,1795,34.0746782,-84.3192991
1/16/18,138500,1606,33.6003175,-84.5604836
1/16/18,2000000,4650,33.8378985,-84.3948168
1/16/18,3500000,7045,33.8360133,-84.3959046
1/16/18,1275000,5095,33.8225337,-84.402495
1/16/18,1244680,4589,33.8235225,-84.4061659
1/16/18,775000,3943,33.8729868,-84.3697919
1/16/18,150000,840,33.8253325,-84.3564308
1/16/18,435000,1126,33.7613265,-84.360421
1/16/18,145000,1350,33.7246781,-84.5681785
1/16/18,261000,3132,33.6721619,-84.5811103
1/16/18,256000,4744,33.6794811,-84.591605
1/16/18,500000,3607,34.0331261,-84.192261
1/16/18,644000,3298,34.0926114,-84.3736931
1/16/18,385000,2601,34.0699208,-84.1868031
1/16/18,489900,2619,34.0717332,-84.1939704
1/16/18,357000,2522,34.0901562,-84.3066589
1/16/18,120000,900,33.712662,-84.3848615
1/16/18,403050,2320,34.051539,-84.316477
1/16/18,450000,2897,34.0210882,-84.3290395
1/16/18,1174891,4124,33.9172095,-84.3916354
1/16/18,166000,1857,33.5388617,-84.5720666
1/16/18,570000,1748,33.7968849,-84.397957
1/16/18,780000,4500,34.1638937,-84.312003
